,gdp_nominal,cpi_all_items,interest_rate_short_term,industrial_production_index,exports_volume,imports_volume,population_total,country
1996-12-31,,69.23333333333333,6.278986666666667,85.76443666666667,18.3892009011185,19.8433070887309,,uk
1997-03-31,1560911918795.02,69.3,6.33584,85.93996666666668,18.6285225872739,20.0130572775488,58316954.0,uk
1997-06-30,,69.93333333333334,6.550376666666666,87.16868666666666,18.2124060005877,20.0966265472828,,uk
1997-09-30,,70.26666666666667,7.193933333333333,88.46761333333332,17.7418925775027,19.2663299449024,,uk
1997-12-31,,70.63333333333333,7.56674,89.66122333333333,17.852951324148,19.9179672993551,,uk
1998-03-31,1653694932096.72,70.60000000000001,7.565370000000001,90.60909333333332,17.0104032219177,19.1697165884634,58487141.0,uk
1998-06-30,,71.36666666666667,7.57913,91.34632333333333,16.5007684623346,19.0176199748064,,uk
1998-09-30,,71.43333333333334,7.6673800000000005,91.45164,16.0511405830854,18.8047016509152,,uk
1998-12-31,,71.83333333333333,6.8851433333333345,92.08355333333334,15.6550314766674,18.4888906694411,,uk
1999-03-31,1687830448147.55,72.0,5.625516666666666,94.11971,15.4469953778802,18.691359973853,58682466.0,uk
1999-06-30,,72.7,5.295873333333334,95.13779333333332,15.4223483856392,18.1831377397889,,uk
1999-09-30,,72.60000000000001,5.277223333333333,96.92820999999999,16.3287898319576,19.2747879212223,,uk
1999-12-31,,72.93333333333334,5.984483333333333,96.96331333333335,16.0162430517315,18.9843507990265,,uk
2000-03-31,1665534876683.31,72.8,6.2008366666666666,97.31437999999999,16.3028763285827,19.2121085630152,58892514.0,uk
2000-06-30,,73.46666666666665,6.275616666666667,97.38459,16.7402734497589,19.7405435823816,,uk
2000-09-30,,73.46666666666665,6.205233333333333,97.94628666666667,17.0362673978416,20.5867080155581,,uk
2000-12-31,,73.93333333333334,6.06814,99.63139000000001,17.4453879905421,21.1693712888846,,uk
